Capital,Assets (var name),Name for drop down menu,Individual Items (var name),Variable labels,Notes
Financial,Commerce_index  ,Commerce Index,Commerce_index,"Commerce composite index of 6 items,  quintiles",dropped: retail trade
Financial,Commerce_index  ,Number of Businesses,per10000_bus    ,Number of businesses per 10k people,OECD documents- use subject measure experts to weigh in on how to weight each one
Financial,Commerce_index  ,New Businesses,per10000_bus_change,Number of NEW businesses per 10k people,
Financial,Commerce_index  ,Farm Acreage,farm_acre_percent,Percent county in agriculture acres,
Financial,Commerce_index  ,Acre Value,acre_value      ,Land value per acre,
Financial,Commerce_index  ,Net Farm Income,net_income_op   ,Net income per farm operation,
Financial,Commerce_index  ,Agricultural Employment,percent_in_ag   ,"Percent emp in ag, forestry, or mining",
Financial,Resilience_index,Resilience Index,Resilience_index,"Economic resilance composite index of 7 items, quintiles reversed as necessary",dropped: number of pawn shops
Financial,Resilience_index,Gini Index,gini_index      ,Gini Index:income inequality per county,
Financial,Resilience_index,Poverty Index,povertyindex    ,"% 18-64 in poverty during last 12 mos, 2018",
Financial,Resilience_index,Public Assistance,public_assitant_perpop,"% HH recieve public assist during past 12 mos, 2018",
Financial,Resilience_index,Supplemental Security,supplemental_assitant_perpop,"% HH with supplemental sec income past 12 mos, 2018",
Financial,Resilience_index,Household Income,median_household_income,"Median HH income past 12 mos inflation adjusted, 2018",
Financial,Resilience_index,Lack of College Degree,percentage_less_than_4year,% less than 4 year degree,
Financial,Resilience_index,Credit Score,credit_score,Mean credit score,
Financial,Work_index      ,Work Index,Work_index,"Labor force rate,  quintiles","Index is only one item, but please provide maps for each individual item as pull down option"
Financial,Work_index      ,Commute Time,mean_commute    ,average commute time per county,
Financial,Work_index      ,Unemployment pre-Covid,pre_covid       ,Jan-Mar 2020 monthly unemployment rate,
Financial,Work_index      ,Covid Effect on Unemployment,covid_change    ,Apr - May 2020 monthly unemployment minus the pre_covid rate,
Financial,Work_index      ,Labor Force,labor_force_rate,percent of people over 16 that are in the labor force,
Financial,Diverse_index,Diversity Index,Diverse_index,"HHI Diversity composite index of 2 items, quintiles",
Financial,Diverse_index,Employment HHI,emp_hhi         ,"Distribution of Employment by Company/Industry, 1-10,000",
Financial,Diverse_index,Income HHI,ap_hhi          ,"Distribution of Income Generated by Industry, 1-10,000",
Human,Health_index,Health Index,Health_index,"Health composite index of 5 items, quintiles",
Human,Health_index,Physical Health,poor_physical_health_days,Poor_physical_health_days_scale,
Human,Health_index,Mental Health,poor_mental_health_days,Poor_mental_health_days,
Human,Health_index,Physical Inactivity,physical_inactivity,Physical_inactivity,
Human,Health_index,Primary Healthcare,primary_care_physicians_rate,Primary_care_physicians_rate,
Human,Health_index,Mental Healthcare,mental_health_providers_rate,Mental_health_providers_rate,
Human,Education_index,Education Index,Education_index,"Education composite index of 3 items, quintiles",dropped: access to 4 year colleges and community colleges
Human,Education_index,High School Degrees,at_least_hs,% population with high school degree,
Human,Education_index,Reading Proficiency,co_reading_prof,"Reading proficiency, all students all grades",
Human,Education_index,Math Proficiency,co_math_prof,"Math proficiency, all students all grades",
Human,Childcare_index,Childcare Index,Childcare_index,"Childcare desert, quintile ","Index is only one item, but please provide maps for each individual item as pull down option"
Human,Childcare_index,Pay Ratio,pay_ratio,Ratio of median income for FT working females to males,
