"city","tier","rrci_rank","county","lat","lng","urban_population","acs_pop_18","mutual_aid_meeting_count","meetings_per_10000_count","peer_support_providers_count","drug_drop_off_count","sud_gambling_count","recovery_housing_count","mental_health_center_count","mat_count","hospital_count","rural_clinic_count","va_hc_count","law_enforcement_count","college_count","childcare_provider_count","church_count","workforce_development_centers_count","library_count","park_count","mutual_aid_meeting_rank","meetings_per_10000_rank","peer_support_providers_rank","drug_drop_off_rank","sud_gambling_rank","recovery_housing_rank","mental_health_center_rank","mat_rank","hospital_rank","rural_clinic_rank","va_hc_rank","law_enforcement_rank","college_rank","childcare_provider_rank","church_rank","workforce_development_centers_rank","library_rank","park_rank","breadth_score","depth_rank","culture_size_score","culture_strength_score","rrci_score","GEOID","total_popE","pct_under18","pct_over65","pct_white","pct_nonwhite","pct_poverty","pct_hs","pct_bach","pct_grad","pct_snap","pct_commute_over30","pct_internet","avg_commute","median_ageE","median_ageM","median_earningsE","median_earningsM","median_household_incomeE","median_household_incomeM"
"Sioux City",1,1,"Woodbury",42.4959,-96.3901,106279,82486,140,16.9725771646098,2,5,3,6,9,10,2,0,1,2,4,113,98,1,3,1,2,5,7,6,4,1,3,3,2,7,3,13,2,3,2,2,2,27,17,36.71875,140,174.7246,11.80469,"1973335",82531,0.264118937126655,0.137560431837734,0.833820019144322,0.166179980855678,0.142497463454962,0.850898307369394,0.221409177562535,0.071498719454661,0.145387335261974,0.118403503032438,0.781324333011893,17.2886730251403,34.4,0.3,31831,675,55433,2485
"Mason City",1,2,"Cerro Gordo",43.1487,-93.1998,26457,27309,36,13.1824673184664,2,4,2,1,3,7,1,0,1,3,1,38,42,1,1,9,8,12,7,8,7,9,8,4,7,7,3,5,5,14,12,2,7,8,17,34.4375,36,167.4052,13.48438,"1950160",27200,0.202830882352941,0.208602941176471,0.931691176470588,0.0683088235294118,0.11927091211617,0.912781954887218,0.212341197822142,0.0720767435830957,0.131834847760242,0.125027991341345,0.776901004304161,15.78114503247,43.3,1,33470,1519,50397,2620
"Fort Dodge",1,3,"Webster",42.5098,-94.1751,24223,24417,30,12.2865216857108,3,5,2,3,4,1,1,0,1,3,1,54,49,1,1,11,10,13,4,6,7,3,7,10,7,7,3,5,5,8,7,2,7,4,17,32.375,30,141.677,14.71875,"1928515",24278,0.210190295741,0.171925199769338,0.874207101079166,0.125792898920834,0.159929782417887,0.889453860640301,0.198618957940992,0.0536723163841808,0.162999506660089,0.105661490072734,0.744449925999013,14.4078042068017,36.3,0.7,26028,1848,40886,2945
"Dubuque",1,4,"Dubuque",42.5007,-90.7067,68573,58340,56,9.59890298251628,1,7,3,1,1,3,2,0,1,3,5,86,40,1,1,7,5,19,17,3,4,9,16,7,2,7,3,5,1,6,14,2,7,10,17,27.5625,56,68.43501,17.76563,"1922395",58196,0.205770156024469,0.179651522441405,0.897690562925287,0.102309437074713,0.158791549604116,0.922673791296306,0.310717772183117,0.114216718902533,0.120067739204064,0.0779587942184684,0.818331922099915,14.8828497720606,37.3,0.7,29906,1363,54234,2321
"Ames",1,5,"Story",42.0258,-93.6216,68156,65937,47,7.12801613661525,3,3,4,3,5,1,1,0,0,2,1,47,56,1,2,14,7,29,4,10,3,3,5,10,7,7,14,13,5,10,6,2,3,2,16,18.5,47,42.20295,22.125,"1901855",66023,0.121381942656347,0.0977841055389788,0.81283795041122,0.18716204958878,0.280243455779382,0.977035561109047,0.626659011853703,0.292222484887373,0.0580311692379983,0.137517136329018,0.750959354687133,16.4073115003808,23.3,0.3,14257,1293,48105,2253
"Iowa City",1,6,"Johnson",41.6559,-91.5304,119091,74566,74,9.92409409114073,4,7,1,1,14,15,2,0,1,4,1,96,49,1,2,1,4,16,3,3,13,9,2,2,2,7,3,2,5,5,7,2,3,27,17,35.71875,78,36.89321,25.05469,"1938595",74950,0.151941294196131,0.104616410940627,0.785190126751167,0.214809873248833,0.276286402452376,0.953288245091606,0.591051329934891,0.310427497097865,0.0788733315885894,0.144427786106947,0.870943470295734,17.0419790104948,26.5,0.5,20435,1088,49075,1986
"Ottumwa",1,7,"Wapello",41.0196,-92.4186,24206,24676,24,9.72604960285297,2,3,3,2,3,0,1,1,1,3,1,32,63,1,1,2,12,18,7,10,4,6,8,15,7,1,3,5,5,15,5,2,7,24,16,55,24,93.46603,25.875,"1960465",24545,0.232470971684661,0.158647382358933,0.831819107761255,0.168180892238745,0.166365811678771,0.859546094084542,0.177586101425338,0.0731020982443262,0.206804995574786,0.158724306387686,0.746484413413315,16.0438750115218,37.3,1.1,28984,1796,41722,1809
"Council Bluffs",1,8,"Pottawattamie",41.2369,-95.8518,62316,62478,48,7.68270431191779,2,8,2,2,5,2,2,0,0,3,1,101,64,1,1,2,6,26,7,2,7,6,5,9,2,7,14,5,5,4,4,2,7,24,15,47.5,50,64.97327,26,"1916860",62355,0.22835378077139,0.159249458744287,0.91100954213776,0.0889904578622404,0.128481969337076,0.869870539339798,0.188649500788229,0.0627717001863087,0.158384590482357,0.200507360058747,0.764486888960829,19.2723388631129,38.4,0.5,32391,928,53524,1959
"Marshalltown",1,9,"Marshall",42.0341,-92.9067,26593,27275,23,8.43263061411549,1,4,1,0,3,3,1,0,1,2,1,46,42,1,1,13,13,24,17,8,13,14,8,7,7,7,3,13,5,11,12,2,7,3,15,41.78571,23,70.03532,26.32143,"1949755",27053,0.2537241710716,0.180053968136621,0.810926699441836,0.189073300558164,0.147943831494483,0.787253501000286,0.181480422977994,0.0532152043440983,0.147765988513579,0.14937830011923,0.763554949868588,16.3826435019588,36.7,0.8,31579,914,52035,2898
"Cedar Rapids",1,10,"Linn",41.9667,-91.6781,186160,131360,109,8.29780755176614,6,6,8,3,6,5,2,0,2,4,3,185,81,1,2,1,3,25,2,5,2,3,4,5,2,7,1,2,4,2,3,2,3,27,16,34,109,23.18438,26.75,"1912000",132301,0.226037596087709,0.152508295477736,0.83874649473549,0.16125350526451,0.124940827713583,0.932929790285605,0.320545686569018,0.0912489130312031,0.105241264559068,0.144976369030758,0.845348332489329,17.5902375024227,36.3,0.5,35503,1262,58511,1678
